9482	0087414	Заказное забойства
10179	0076101	Блеф
11103	0340012	Быць Джуліяй
11140	0219469	Вышэй за падазрэнні
12090	0356910	Сямейка Смітаў
12201	0286151	Зорка
12205	0088323	Бясконцая гісторыя
12273	0107927	Хвацкая
12431	0290435	Побач з раем
13469	0355295	Браты Грым
13626	0120148	Увага, дзверы зачыняюцца
13845	0133385	Астэрыкс і Абэлікс супраць Цэзара
14287	0310203	Змоўкні!
14331	0321640	Гіцлі
14336	0305568	Фанфан-цюльпан
14339	0295721	Таксі 3
14349	0152930	Таксі (субцітры)
14852	0155754	Незабыўны красавік
15641	0124901	Крывавы чацвер
15651	0128239	Шэрая сава
16443	0196596	Вадаспады Грызлі
16953	0174480	Восень у Нью-Ёрку
17818	0094336	Уітнэйл і я (субцітры)
18120	0122768	Нянькі
18271	0217086	Улюблёная студэнтка
18440	0100814	Дрыжанні
19382	0057546	Меч у камяні
20789	0119303	Адзін дома 3
20903	0085354	Татулі
20911	0080929	Інспектар-недарэка
22500	0117496	Рабінзон Круза
23065	0301563	Брат майго каханага
23712	0084503	Пінк Флойд: Сцяна (субцітры)
24204	0361411	Шлюб і перадузятасць
24705	0091431	Боскія даспехі
24968	0240913	Пад пяском
29573	0096787	Сабакі ідуць на нябёсы
31498	0347293	Месяц чэрвень
32898	0119472	Грукаючы ў нябесную браму
33444	0128378	Агнём і мячом
38903	0317705	Суперсямейка
41832	0275277	Каўбой Бібоп
46973	0286244	Трыа Бэльвіля
47122	0357037	Парнаграфія
47814	0374546	Вясна, лета, восень, зіма... і зноў вясна
48246	0363163	Падзенне
48250	0366450	Пяцёра дзетак і Пескавік
48609	0366777	Мільёны
49331	0379063	Заплюшчы вочы
49644	0170351	Пан Тадэвуш
49684	0347149	Вандроўны замак Хаўла
50349	0289786	Дарога
50509	0163494	Касмічныя прыгоды Кобры (субцітры)
50678	0380201	Кроўны брат
51587	0376543	Пад Кубрыка
51826	0225535	Доўг
52135	0281019	Апошняе заданне
54550	0382357	Зямля багацця
61135	0079368	Ісус
61207	0379217	Кава і цыгарэты
61272	0369672	Песня-прызнанне Бобі Лонгу
61313	0363532	Блізкія незнаёмцы
61420	0354356	5x2
61496	0378284	Мачука
61593	0344604	Пасля вас
61622	0377834	Дні футболу
61627	0377752	Дарагі Фрэнкі
61652	0371307	Непахаваны
63767	0388473	Аднойчы ў Токіа
63912	0080439	Утаймаванне свавольнага
64012	0387877	Чорная Вяргіня
64050	0210056	Зух
64403	0111221	Смерць як луста хлеба
64410	0330243	Дзень вар'ята
64415	0120261	З новым Ёркам, з новым шчасцем
64422	0106783	Два месяцы
64559	0266441	Далёка ад вакна
66063	0114204	Палкоўнік Квяткоўскі
66066	0116156	Дзень вялікай рыбы
66086	0117286	Панна Ніхто
66162	0082755	Мішка
66171	0088083	Сэксмісія (Новыя амазонкі)
66200	0115996	Наўскач
66207	0066289	Рэйс
66237	0091352	Каханкі маёй мамы
66250	0180275	Чужое шчасце
66300	0284406	Шапэн. Прага кахання
66313	0191666	Золата дэзерціраў
66331	0209445	Тыдзень з жыцця мужчыны
66338	0116154	Дзеці і рыбы
66339	0117009	Маці сваёй маці
66340	0114626	Тата
67210	0089064	Дзяўчаты з Наваліпак, Райская яблыня
68296	0113172	Гёрл-гайд
76707	0209463	Панясе нас вецер
77046	0106179	Сакрэтныя матэрыялы
77132	397535	Мемуары гейши
77177	0383028	Пастаноўка Нью-Ёрк
77340	0234516	Чалавек прэзідэнта
77439	0399295	Пан вайны
77574	0402158	Імперыя ваўкоў
78170	0385004	Клан лятучых кінжалаў
78240	0381849	Цягнік у Юму
78378	0396171	Парфумер: Гісторыя аднаго забойцы
78834	0395173	Несвядомыя
79439	0178145	Жана д’Арк
79546	0274321	Раз'юшаныя нябёсы
79667	0143808	Пакахонтас 2: Падарожжа ў Новы свет
79768	372334	Няволя ўласнага ценю
79841	0065021	Карабель-прывід
79920	0149460	Футурама
80227	0380636	Надвор’е на заўтра
80630	0246593	Вялікі звер
81297	0405159	Малая за мільён долараў
81421	0058625	Жанчына ў выдмах (субцітры)
81584	0405743	Басанож па брукаванцы
81725	0410639	Незадаволеныя сёстры
84020	0413267	Шрэк Трэці
84027	0411118	Энтані Цымер
85208	0094525	Пуаро
85387	0267675	Прыгоды Санта-Клауса
86311	0423866	Пустыя хаты
86326	0425210	Удалая лічба Слевіна
86352	0432034	Жаночы раман
86621	0432283	Неверагодны містэр Фокс
87935	0382765	Джындабайн
88190	0424880	Кэндзі
88737	0443536	Чырвоны каптурок
89514	0382932	Рататуй
93547	0420223	Перапісанае жыццё
93551	0251434	Гэта я, злодзей
94660	0092337	Дэкалог 89+
100526	0426270	Трэці
101095	0072448	Зора
101711	0450232	16 кварталаў
102127	0443680	Забойства Джэсі Джэймса баязліўцам Робертам Фордам
102133	0445935	Жанчыны на мяжы
102148	0450345	Плецены чалавек
102152	0416508	Джэйн Осцін
102201	0446755	Размаляваны вэлюм
102268	0434292	Прынцэсы
102286	0206013	Мае суседзі Ямада
102311	0450615	Праект «Экстэрмінатар»
102681	0106258	Амерыканскі самурай
102696	0452971	Цёмна-сіні амаль чорны
103205	0387892	Вышыванніцы
103306	0421974	Рыцары неба
103486	0441297	Блюз па-гаванску
103734	0441773	Кунг-фу панда (субцітры)
104184	0448245	Абое рабое
104905	0457513	Эксклюзіў
105478	0420289	Варажба жарлянкі
138990	0441025	Скрадзеныя вочы
144243	0117810	Познань’56
144273	0454931	Рэквіем
150089	0445691	Сальвадор Пуч Анцік (субцітры)
160904	0437503	Тарзан 2
160932	0438488	Выратаванне Тэрмінатара (субцітры)
160977	0472043	Апакаліпсіс
161263	0062598	Піпі Доўгаяпанчоха
161917	0436697	Каралева
165940	0105087	Лэдзі ўдачы
172512	0259072	Час п’яных коней
172649	0109527	Дама з камеліямі
178475	0425278	Мой Нікіфар
180107	0479257	Цябе зваць Жастын
180153	0431213	Лэсі
180473	0188387	Дочкі шчасця
180577	0472033	9
182329	0287465	Вулічныя гульні
193733	0479261	Кафэ "Раздарожжа"
194033	0485601	Таямніца Келза
194201	0464913	Агент 117: Місія ў Каіры
195290	0484111	Дабранач
195305	0469754	Найгалоўнейшы бос
195319	0463872	Астэрыкс на алімпіядзе
195332	0462538	Сімпсаны ў кіно
195344	0454776	Цудоўна ласка
195620	0479519	Запавет
197258	0457297	Эфект матыля 2
198452	0486219	Дзеці славы
208749	0480163	Судовы выканаўца
212943	0178031	У Бога за пазухай
214781	0476872	Наканаванне блюзам
214966	0466406	Закаханы анёл
217785	0420318	Вяселле
219760	0426291	Уніз каляровым узгоркам
220217	0456340	Хаатычная Ана
222229	0458515	Я, Дон Джаванні
223293	0114118	Костка
223295	0107272	Лепей быць прыгожай і багатай
227077	0480128	Цудоўны дзень
232785	0485947	Містар Ніхто
237774	0477916	Жыве Куба!
251733	0499549	Аватар
252082	0267127	Прысуд Францішку Клосу
252330	0085218	Басаногі Ген (субцітры)
252502	0780516	Без заганы
252542	0435100	Караль: чалавек, які стаў Папам
252717	0778749	Ясмін
255291	0780180	Хто рана памірае, той болей спачывае
256408	0478304	Дрэва жыцця
257384	0470674	Анастасія Слуцкая
258478	0804540	Таксі 4
258687	0816692	Інтэрстэлар
258689	0792965	Папросту разам
258885	0825232	Пакуль ногі носяць
259185	0795488	Удзельнікі турпаездкі
259606	0488027	Плошча Збаўцы
260162	0790636	Даласкі клуб пакупнікоў
261073	0841044	Два дні ў Парыжы
261127	0876563	Рыбка Поньё (Понья на схіле)
261911	0825244	Размовы з маім садоўнікам
264279	0846040	Мой брат – адзіны сын
267164	0847750	Надзея
267378	0835834	Час паміраць
268413	0117229	Завітай да мяне ў сне
270249	0879843	Катынь
272584	0896977	Статысты
275505	0489370	Сонечны конь
275639	0809407	Была ці не была?
276295	0780536	У Бруге
276628	0926285	Што бачыла сонейка
276646	0929412	Ціхі хаос
277533	0209013	Вайна ў акрузе Гарлан
278171	0497465	Вікі Крысціна Барселона
278522	0903624	Хобіт: Нечаканая вандроўка
279031	0304755	Скрадзены цуд
279204	0254890	Бландзінка (Бландынка)
279553	0163887	Одры Гэпбэрн
281779	0907657	Аднойчы
282491	0986272	Пацверджанне
283290	0409591	Нарута
295083	0875034	Дзевяць
295238	0977666	Таемнасці
295655	0113554	Кісінджар і Ніксан
297671	0291118	Куб
298644	0337991	Два каханні
299074	0451265	Уоліс і Эдвард
307421	0926329	Прыехалі ўланы
308906	308906	Джордж Карлін - Гэта блага для цябе!
309097	0986233	Галаданне (субцітры)
309423	0887883	Прачытаўшы, спаліць
310832	1029161	Павук
313472	0948544	Мутная вада
315168	1034331	Памыснае забойства
315907	0964586	Колер скуры
317463	0772176	Калядная гісторыя
318555	0111821	Павернуты
325381	1049413	Уверх
327068	0116517	Кошт ейнага раману
333266	0339404	Мой горад
334410	0339925	Усе святыя
337988	0373721	Белая сукенка
337989	0287597	Ноч святога Мікалая
338012	0287815	Жоўты шалік
338024	0370966	Міс мокрая майка
338034	0370434	Цуд на Пурым
338041	0345668	Мае печаныя куры
351475	0419894	Каралева аблокаў
366230	0414947	Доўгі ўік-энд
366311	0413931	Цудам ацалёны
366312	0332576	Белісіма
366346	0480708	Пекла. Неба
367310	0480629	Барбурка
370787	0311988	У каго я ўрадзіўся
380240	0479258	Пара асоб, малы час
387556	1028532	Хачыка: гісторыя сяброўства
390597	1043433	Братка
390874	1078600	Сёстры па крыві
391762	1069238	Провады
391819	1054631	Тыкнутыя носам
391889	0804503	Утрапёныя
391988	0906014	Гуча!
392692	0282796	Невядомая гісторыя на Каляды
393922	1093352	Як усе
394714	1097242	Заўтра пойдзем у кіно
